Date_Text,Open,High,Low,Adj Close,Close,Volume
01/00/1900, $47.27 , $47.56 , $46.81 , $28.00 , $47.00 ,"1,030,900"
01/00/1900, $47.00 , $47.64 , $46.78 , $28.01 , $47.02 ,"2,293,200"
01/00/1900, $47.13 , $47.33 , $45.73 , $27.51 , $45.91 ,"1,363,400"
01/00/1900, $46.08 , $46.53 , $45.98 , $27.67 , $46.17 ,"1,227,600"
01/00/1900, $46.20 , $46.30 , $45.00 , $27.24 , $45.45 ,"1,152,600"
01/00/1900, $45.66 , $47.33 , $45.64 , $28.20 , $47.05 ,"2,474,700"
01/00/1900, $47.00 , $47.23 , $46.36 , $27.91 , $46.56 ,"929,200"
01/00/1900, $46.58 , $47.70 , $46.00 , $28.56 , $47.66 ,"844,800"
01/00/1900, $47.55 , $47.59 , $46.33 , $27.76 , $46.33 ,"798,500"
01/00/1900, $46.44 , $47.33 , $46.28 , $27.81 , $46.41 ,"1,216,100"
01/00/1900, $46.61 , $47.09 , $46.27 , $27.85 , $46.47 ,"979,200"
01/00/1900, $46.44 , $46.58 , $44.61 , $27.25 , $45.47 ,"1,445,600"
01/00/1900, $45.45 , $45.95 , $45.05 , $27.31 , $45.56 ,"1,161,700"
01/00/1900, $45.66 , $45.81 , $44.69 , $27.00 , $45.05 ,"1,418,400"
01/00/1900, $44.95 , $46.03 , $44.95 , $27.42 , $45.75 ,"821,500"
01/00/1900, $45.75 , $46.27 , $45.61 , $27.83 , $46.06 ,"2,688,100"
01/00/1900, $46.22 , $46.41 , $45.56 , $27.52 , $45.56 ,"2,883,000"
01/00/1900, $45.70 , $46.25 , $45.69 , $27.82 , $46.05 ,"1,214,300"
01/00/1900, $46.03 , $46.73 , $45.81 , $28.23 , $46.73 ,"699,900"
01/00/1900, $46.72 , $47.08 , $46.45 , $28.12 , $46.55 ,"496,900"
01/00/1900, $46.23 , $47.23 , $46.20 , $28.46 , $47.11 ,"202,800"
01/00/1900, $47.02 , $48.11 , $46.84 , $29.01 , $48.03 ,"1,071,100"
01/00/1900, $48.02 , $48.47 , $47.97 , $29.21 , $48.36 ,"2,168,800"
01/00/1900, $48.33 , $48.77 , $48.25 , $29.27 , $48.45 ,"829,800"
01/00/1900, $48.45 , $49.16 , $48.42 , $29.60 , $49.00 ,"1,264,800"
01/00/1900, $48.86 , $49.03 , $48.48 , $29.47 , $48.78 ,"1,795,600"
01/00/1900, $48.45 , $49.39 , $48.22 , $29.76 , $49.27 ,"678,100"
01/00/1900, $49.23 , $49.81 , $49.17 , $29.94 , $49.56 ,"873,400"
01/00/1900, $49.63 , $50.22 , $49.33 , $30.50 , $50.22 ,"625,500"
01/00/1900, $50.30 , $50.89 , $49.55 , $30.43 , $50.11 ,"1,339,800"
01/00/1900, $50.09 , $50.86 , $50.06 , $30.79 , $50.70 ,"1,081,300"
01/00/1900, $50.63 , $51.09 , $50.59 , $31.02 , $51.08 ,"930,000"
01/00/1900, $51.27 , $51.31 , $50.30 , $30.91 , $50.89 ,"1,084,300"
01/00/1900, $50.86 , $51.67 , $50.86 , $31.34 , $51.59 ,"1,299,600"
01/00/1900, $51.55 , $52.69 , $51.39 , $31.70 , $52.19 ,"2,098,100"
01/00/1900, $52.14 , $52.88 , $52.09 , $32.04 , $52.75 ,"1,140,300"
01/00/1900, $52.89 , $53.16 , $51.91 , $31.64 , $52.09 ,"1,499,700"
01/00/1900, $52.27 , $53.42 , $52.23 , $31.92 , $52.56 ,"1,622,100"
01/00/1900, $52.69 , $53.92 , $52.38 , $32.52 , $53.55 ,"1,549,000"
01/00/1900, $53.55 , $54.05 , $52.75 , $32.23 , $53.06 ,"910,900"
01/00/1900, $53.23 , $54.23 , $53.20 , $32.78 , $53.97 ,"1,487,500"
01/00/1900, $54.13 , $55.16 , $54.09 , $33.61 , $55.02 ,"1,193,000"
01/00/1900, $54.86 , $54.95 , $54.06 , $33.24 , $54.41 ,"1,276,500"
01/00/1900, $54.47 , $55.78 , $54.47 , $34.07 , $55.77 ,"1,103,000"
01/00/1900, $55.81 , $56.31 , $55.45 , $34.24 , $56.05 ,"1,783,600"
01/00/1900, $56.13 , $56.42 , $54.20 , $33.85 , $55.41 ,"1,292,200"
01/00/1900, $55.48 , $56.70 , $55.48 , $34.39 , $56.30 ,"986,900"
01/00/1900, $56.34 , $56.80 , $55.45 , $34.20 , $55.98 ,"2,158,000"
01/00/1900, $56.11 , $56.31 , $55.42 , $34.00 , $55.66 ,"1,790,100"
01/00/1900, $55.80 , $56.41 , $55.66 , $34.32 , $56.17 ,"1,113,300"
